path	author	header	created	sphere    	topic	style	audience_age	audience_level    	audience_size	source	publication	publ_year    	medium	country	region	language
.\paper\plain\2017\06\1.txt	Super User	Нужно только захотеть	20.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1050	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\2.txt	Super User	К юбилею явления урюпинской иконы	22.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1051	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\3.txt	Super User	Амбулатория, богатая кадрами	22.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1052	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\4.txt	Super User	В День донора	22.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1053	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\5.txt	Super User	Не его день...	22.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1054	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\6.txt	Super User	Урюпинск в числе лучших	22.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1055	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\7.txt	Super User	В Волгоградской области прошло заседание антитеррористической комиссии	23.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1056	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\8.txt	Super User	Андрей Бочаров принял участие в заседании оргкомитета по 75- летию Сталинградской Победы	23.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1057	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\9.txt	Super User	Путешествие в прошлое	26.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1058	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\10.txt	Super User	С июля поднимутся тарифы	26.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1059	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\11.txt	Super User	Форум малых городов России	26.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1060	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\12.txt	Super User	Сквер нашего детства	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1061	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\13.txt	Super User	О выплате пенсии умершего	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1062	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\14.txt	Super User	Конфеты с &quot;начинкой&quot;	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1063	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\15.txt	Super User	Посевную завершили	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1064	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\16.txt	Super User	От Урюпинска до Владивостока	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1065	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\17.txt	Super User	Учитель и человек с большой буквы	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1066	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\18.txt	Super User	Импортозамещение по-урюпински	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1067	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\19.txt	Super User	По прозвищу Князёк	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1068	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\06\20.txt	Super User	Играли песни на Хопре	28.06.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1069	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
